date,open,high,low,close,volume,ema10,ema20,vwma20,rsi14,signal
2024-06-26,26.9,27.51,26.8,26.9,135934.0,27.07536968505864,27.83163909445068,27.98232142479329,36.59196979623616,0
2024-06-25,27.37,27.37,26.89,27.08,81458.0,27.07621156050252,27.76005441878871,27.884338509933162,38.67663834252964,0
2024-06-24,27.36,27.97,27.2,27.37,90147.0,27.12962764041115,27.722906378904067,27.76773417992224,41.985938781887754,0
2024-06-21,26.94,27.88,26.93,27.28,178812.0,27.156968069427304,27.68072481900844,27.57981176708893,41.242097659831416,0
2024-06-20,27.28,27.46,26.85,26.92,57611.0,27.113882965895066,27.60827483624573,27.3625192601509,38.31780012497134,0
2024-06-18,27.66,27.73,27.17,27.33,77619.0,27.15317697209596,27.581772470888996,27.27060409975821,43.2528433090457,0
2024-06-17,27.88,28.19,27.52,27.54,77830.0,27.223508431714876,27.57779414032814,27.178749744538155,45.6513449800654,0
2024-06-14,28.6,29.1,28.01,28.12,102933.0,27.38650689867581,27.629432793630222,27.12947712457613,51.72079589414093,0
2024-06-13,28.92,29.52,28.43,29.13,166568.0,27.703505644371116,27.77234395614163,27.22975888377344,60.08102290465291,0
2024-06-12,28.94,29.55,28.7,29.0,232422.0,27.939231890849094,27.889263579366236,27.383861626029258,58.67270487189505,0
2024-06-11,28.2,28.25,27.85,27.91,80763.0,27.933917001603803,27.891238476569452,27.39901893250856,48.42355349653218,0
2024-06-10,28.01,28.49,27.77,28.4,123547.0,28.018659364948565,27.93969195499141,27.466649792123278,52.44517035798561,0
2024-06-07,28.44,28.74,28.33,28.34,102927.0,28.077084934957917,27.977816530706512,27.53273248257264,51.91140313980303,0
2024-06-06,28.38,29.08,28.38,28.81,101226.0,28.21034221951102,28.057072099210654,27.6184106326453,55.71370858591174,0
2024-06-05,28.02,28.8,27.79,28.63,274554.0,28.286643634145378,28.11163666119059,27.772703974274826,53.95420747861511,0
2024-06-04,27.24,28.43,27.0,27.94,338440.0,28.22361751884622,28.095290312505774,27.80408407652926,47.73131693380852,0
2024-06-03,27.22,27.22,26.27,26.44,144470.0,27.89932342451054,27.937643616076652,27.757830725232346,37.58316341410797,0
2024-05-31,26.68,27.31,26.55,26.89,567143.0,27.715810074599535,27.83786803359316,27.639204919279795,41.594968392523036,0
2024-05-30,26.26,26.75,26.22,26.62,79463.0,27.5165718792178,27.721880601822384,27.70229476020257,39.93636508669769,0
2024-05-29,26.32,26.7,26.21,26.21,138198.0,27.279013355723652,27.577891973077396,27.674127621099185,37.491582328059145,0
2024-05-28,26.89,27.19,26.59,26.63,68262.0,27.16101092741026,27.487616547070026,27.685136602242324,41.4459649223384,0
2024-05-24,26.53,26.81,26.37,26.72,95702.0,27.080827122426577,27.414510209253834,27.67123620482167,42.288485571719896,0
2024-05-23,26.4,26.64,26.26,26.48,88066.0,26.971585827439924,27.325509236943944,27.646127061806727,40.61039886913715,0
2024-05-22,26.23,26.59,26.14,26.4,75319.0,26.867661131541755,27.23736550009214,27.6366420853821,40.04003741609724,0
2024-05-21,26.53,26.62,26.23,26.56,64268.0,26.811722743988707,27.172854500083364,27.62733882829064,41.80057887102537,0
2024-05-20,27.06,27.19,26.55,26.56,54537.0,26.765954972354393,27.11448740483733,27.615536817039896,41.80057887102537,0
2024-05-17,26.8,27.5,26.64,27.07,138357.0,26.821235886471776,27.110250509138535,27.5926207729906,47.49920710105515,0
2024-05-16,26.56,26.7,26.25,26.69,97756.0,26.797374816204176,27.07022665112534,27.54561487380557,44.039109918616155,0
2024-05-15,26.8,26.8,26.19,26.44,154630.0,26.732397576894325,27.01020506530388,27.401620870515387,41.877753413451515,0
